Company Name,Website,Phone,Address,Emails Found,Status
RSE ELECTRONICS,http://www.rseelectronics.co.za/,+27 11 334 4158,"cnr William Kirby, 73 Rosettenville Rd, Village Main, Johannesburg South, 2001, South Africa",,
Triwave Technologies,http://www.triwave.co.za/,,"292 Louis Botha Ave, Orange Grove, Johannesburg, 2119, South Africa","info@triwave.co.za,larry@triwave.co.za,sales@triwave.co.za,sheldon@triwave.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93beda709a6sm129736885a.14 - gsmtp')"
Lesco Manufacturing (Pty) Ltd,http://www.lescosk.com/,+27 11 613 7417,"Unit 2A, 36 Fortune St, City Deep, Johannesburg, 2197, South Africa",sales@lescosk.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260aa1c03sm14635636d6.39 - gsmtp')"
MERSEN SOUTH AFRICA PTY LTD,https://www.mersen.com/,+27 11 474 0000,"02 Wright St, Industria West, Johannesburg, 2093, South Africa",,
Microtronix Manufacturing,http://www.microtronix.co.za/,+27 11 792 5322,"CR Swart Dr &, Freda Rd, Strydompark, Randburg, 2169, South Africa","hr@microtronix.co.za,info@microtronix.co.za,rfq@microtronix.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae750944sm14425261cf.25 - gsmtp')"
CZ Electronics (Pty) Ltd,http://www.czelectronics.co.za/,+27 11 914 5240,"81, Van Dyk Secure Business Park, Van Dyk Rd &, Brakpan Rd, Boksburg East Industrial, Boksburg, 1478, South Africa",info@czelectronics.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedac2955sm131436385a.24 - gsmtp')"
ElectroMechanica Johannesburg,http://www.em.co.za/,+27 11 249 5000,"14 Data Cres, Ormonde, Johannesburg South, 2091, South Africa",info@em.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260aa20e4sm14574406d6.40 - gsmtp')"
S.J. Andrews electronics (PTY) LTD,http://www.sjandrews.co.za/,+27 11 444 1521,"41 14th St, Marlboro, Johannesburg, 2090, South Africa",,
Omron Electronics (Pty) Ltd,http://www.industrial.omron.co.za/,+27 11 579 2600,"22 Friesland Dr, Westfield, Lethabong, 1609, South Africa","orders_ct@omron.com,orders_dbn@omron.com,orders_jhb@omron.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae750944sm14425501cf.25 - gsmtp')"
Tower Electronic Systems CC,http://www.towerelectronics.co.za/,+27 11 493 5889,"17 Fennell Rd, Village Deep, Johannesburg, 2001, South Africa",info@towerelectronics.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260967307sm14869066d6.6 - gsmtp')"
ZA Electronics,http://www.zae.co.za/,+27 21 552 8235,"Unit 64, Frazzitta Business Park Cnr Koeberg Road &, Freedom Way, Milnerton, Cape Town, 7441, South Africa",info@zae.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb3de58sm128117085a.37 - gsmtp')"
Cirtech Electronics,http://www.cirtech-electronics.com/,+27 21 700 4900,"Cirtech House, 12 Stibitz St, Westlake, Cape Town, 7945, South Africa",info@cirtech-electronics.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a8d2cdsm14569146d6.35 - gsmtp')"
Voltronics Cape,http://www.voltronics.co.za/,+27 21 551 5341,"Unit 28, Woodbridge Business Park, Koeberg Rd, Milnerton, Cape Town, 7441, South Africa",breakdowns@voltronics.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a878absm14458976d6.31 - gsmtp')"
